Tipologia;N_Osservazioni;Media_kWh;Mediana_kWh;StdDev_kWh;Min_kWh;Max_kWh;N_POD
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altre attività creditizie          ;14;291817.9;315058.5;47348.1;233191.0;353107.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Allevamento di altri bovini e bufal;18;136854.6;32465.5;214745.9;56.0;790447.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altra stampa                       ;18;65747.8;65622.0;11613.8;43449.0;88750.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Organizzazione di convegni e fi;18;63815.2;73090.0;34232.5;11537.0;123516.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Servizi integrati di supporto p;12;57529.8;19450.5;89899.4;10813.0;303345.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Servizi forniti da commercialis;18;184581.8;191414.0;51263.6;124451.0;275214.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Servizi dei parrucchieri e di a;18;182940.6;182992.5;90534.4;84640.0;339397.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altri lavori di costruzione special;18;88819.1;83683.0;20215.9;60184.0;128446.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altri trasporti ferroviari di passe;14;319596.1;320180.0;160365.9;67204.0;549357.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di assistenza sociale non ;18;779522.3;786569.5;158823.6;551317.0;1099134.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di ristoranti con servizio;18;200216.4;205519.0;50936.1;63479.0;283424.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Consulenza imprenditoriale e altre ;15;9620.7;9527.0;575.4;8938.0;10914.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Estrazione di pietre ornamentali, c;18;193894.9;196699.0;22328.6;152728.0;247855.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio all'ingrosso di altri pro;18;336.7;0.0;1419.9;0.0;6026.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio all'ingrosso di autoveico;18;1473102.9;1413738.0;667288.1;749571.0;2705562.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di birra                ;18;226859.3;219979.0;55575.4;153356.0;327706.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Intonacatura                       ;18;579002.7;503464.0;283523.4;175042.0;1319826.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Istruzione prescolastica           ;15;409662.4;395069.0;92011.2;168837.0;535216.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fornitura di vapore e aria condizio;14;1703956.4;1690777.5;347283.3;1216637.0;2276937.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di apparecchiature pe;17;466811.5;423438.0;118316.2;299020.0;743167.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di impianti di spegni;18;60590.1;49231.5;33662.7;22032.0;133353.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di impianti elettrici;18;171904.1;168386.5;16742.0;148667.0;199784.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di impianti idraulici;17;74026.5;73583.0;6949.0;63067.0;90803.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Gestione di parcheggi e autorimesse;16;3591.2;3598.0;102.0;3396.0;3779.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Elaborazione e supervisione di prog;18;76472.1;75870.0;12368.1;58177.0;96166.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di altri prodotti in ;18;372147.1;359550.0;96251.3;237547.0;562384.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di apparecchi per uso;18;7936.1;5025.5;6764.5;402.0;24203.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di materiali da costr;18;350224.6;347281.5;19539.8;319011.0;386833.0;1
