Tipologia;N_POD;PotMedia_kW;PotMediana_kW;PotMin_kW;PotMax_kW
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fornitura di vapore e aria condizio;1;25.0;25.0;25.0;25.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di apparecchiature pe;1;10.0;10.0;10.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di impianti di spegni;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di impianti elettrici;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di impianti idraulici;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Gestione di parcheggi e autorimesse;1;1.5;1.5;1.5;1.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Elaborazione e supervisione di prog;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di altri prodotti in ;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di apparecchi per uso;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di materiali da costr;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di articoli da viaggi;1;0.0;0.0;0.0;0.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di serrature e cernie;1;35.0;35.0;35.0;35.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Formazione sportiva e ricreativa   ;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio all'ingrosso di motocicli;1;30.0;30.0;30.0;30.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio all'ingrosso di bevande a;1;4.5;4.5;4.5;4.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Edizione di software               ;1;1.5;1.5;1.5;1.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Riproduzione delle piante          ;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di pane e prodotti di pa;1;14.5;14.5;14.5;14.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Riparazione e manutenzione di mobil;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Sartoria e confezione su misura di ;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di energia elettrica da ;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Trasporto non di linea di passegger;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Trasporto di merci su strada       ;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Trasporto di linea di passeggeri su;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Trasmissione di energia elettrica  ;1;4.8;4.8;4.8;4.8
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Taglio e lavorazione di pietre e di;1;25.4;25.4;25.4;25.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Telecomunicazioni                  ;1;3.0;3.0;3.0;3.0
DOMESTICI | USI DOMESTICI NON RE | Attività di servizi di intermediazi;1;3.0;3.0;3.0;3.0
DOMESTICI | USI DOMESTICI NON RE | Lavori di muratura                 ;1;3.0;3.0;3.0;3.0
