POD;N_Righe;N_Mesi;Tot_NaN_Q;Tot_Celle;Completezza [%]
99999E00013247;1100;18;8;105600;99.99
99999E00013291;1100;18;8;105600;99.99
99999E00013311;920;15;8;88320;99.99
99999E00013314;980;16;8;94080;99.99
99999E00013320;1042;17;8;100032;99.99
99999E00013325;1960;16;16;188160;99.99
99999E00013332;858;14;8;82368;99.99
99999E00013337;858;14;8;82368;99.99
99999E00013346;1100;18;8;105600;99.99
99999E00013376;1100;18;8;105600;99.99
99999E00013417;1042;17;8;100032;99.99
99999E00013419;980;16;8;94080;99.99
99999E00013421;920;15;8;88320;99.99
99999E00013422;1042;17;8;100032;99.99
99999E00013428;1100;18;8;105600;99.99
99999E00013436;980;16;8;94080;99.99
99999E00013437;1100;18;8;105600;99.99
99999E00013450;980;16;8;94080;99.99
