Tipologia;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-10;2024-11;2025-01;2025-03;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;Media
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Riproduzione delle piante          ;210507.0;954023.0;904038.0;476787.0;363513.0;327201.0;303093.0;381950.0;509509.0;142976.0;1085258.0;356778.0;323617.0;318758.0;301080.0;442286.0;536722.0;654522.0;477367.7
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Ordine pubblico e sicurezza naz;711478.0;700305.0;604423.0;607314.0;371472.0;396457.0;377770.0;419937.5;405550.5;454267.5;407077.5;368356.0;365324.0;357822.0;342631.0;408121.0;600851.5;617723.5;473160.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di apparecchiature pe;;449237.0;406286.0;472841.0;463268.0;644850.0;743167.0;680704.0;405029.0;367289.0;299020.0;496252.0;403356.0;423438.0;400327.0;366056.0;420347.0;494328.0;466811.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Riparazioni meccaniche di autov;314410.8;467290.0;422346.8;418105.0;382326.5;456641.7;438194.2;455994.8;539582.3;674675.7;501003.7;428437.5;433264.2;444673.2;419709.3;463842.0;554847.2;576396.0;466207.8
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività degli organi legislativi e;1348907.0;778621.8;500775.5;308788.4;308202.4;336810.7;400297.7;348707.0;465034.0;570260.0;503536.8;288887.4;328406.0;338256.5;290818.3;339317.4;421553.2;510326.3;465972.6
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di organizzazioni associat;461424.5;451683.0;485303.5;461466.5;362404.0;361455.0;308961.5;440576.5;669596.0;859600.5;597445.0;320359.5;278160.5;295079.5;297366.5;341990.0;497080.0;659265.0;452734.3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività delle organizzazioni relig;743937.3;734932.0;648610.0;619258.2;547523.2;610511.8;263020.4;331252.1;361919.9;445647.5;346124.4;259241.0;451682.9;219610.0;283672.9;416148.5;340571.8;385289.2;444941.8
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di impianti di illumi;418498.5;449582.5;454535.5;429392.0;413736.5;438788.0;409295.0;405544.0;444825.0;549674.0;484842.5;447059.0;422094.0;410637.5;375914.5;408223.5;440549.0;471473.0;437481.3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di prodotti di pasticcer;477258.0;484060.0;440071.0;176347.5;344813.5;580925.0;663636.5;195603.0;226045.5;634333.0;551605.0;355018.5;664634.0;719762.5;420445.5;191484.5;204160.5;363847.0;427447.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di calzature;;;;26899.0;382308.0;672594.0;711122.0;123270.0;151690.5;652976.0;514625.0;396743.5;596718.5;800605.5;377354.0;127416.0;184930.0;584232.5;420232.3
